Date : 2025-02-23 11:46:58
Directory : c:\Users\perso\Programming\Ecommerce
Total : 107 files,  22150 codes, 560 comments, 1022 blanks, all 23732 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| server (Files)                                                                                                        |          5 |      4,181 |         11 |         15 |      4,207 |
| server\config                                                                                                         |          2 |         56 |          2 |         12 |         70 |
| server\controllers                                                                                                    |         10 |      1,455 |        112 |        193 |      1,760 |
| server\middlewares                                                                                                    |          1 |         16 |          1 |          6 |         23 |
| server\routes                                                                                                         |         10 |        115 |         28 |         51 |        194 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                              | language       | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\perso\Programming\Ecommerce\README.md                                                                        | Markdown       |        200 |          0 |         21 |        221 |
| c:\Users\perso\Programming\Ecommerce\client\.env                                                                      | Properties     |         13 |          3 |          3 |         19 |
| c:\Users\perso\Programming\Ecommerce\client\README.md                                                                 | Markdown       |          5 |          0 |          4 |          9 |
| c:\Users\perso\Programming\Ecommerce\client\eslint.config.js                                                          | JavaScript     |         37 |          0 |          2 |         39 |
| c:\Users\perso\Programming\Ecommerce\client\index.html                                                                | HTML           |         14 |          0 |          3 |         17 |
| c:\Users\perso\Programming\Ecommerce\client\package-lock.json                                                         | JSON           |      7,533 |          0 |          1 |      7,534 |
| c:\Users\perso\Programming\Ecommerce\client\package.json                                                              | JSON           |         54 |          0 |          1 |         55 |
| c:\Users\perso\Programming\Ecommerce\client\public\vite.svg                                                           | XML            |          1 |          0 |          0 |          1 |
| c:\Users\perso\Programming\Ecommerce\client\src\api\cart.js                                                           | JavaScript     |         32 |          4 |          5 |         41 |
| c:\Users\perso\Programming\Ecommerce\client\src\assets\supportBot.svg                                                 | XML            |        135 |          1 |          2 |        138 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\Auth\LoginForm.jsx                                         | JavaScript JSX |        156 |          6 |         21 |        183 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\Auth\OTPVerification.jsx                                   | JavaScript JSX |         55 |          3 |          7 |         65 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\Auth\ProtectedRoute.jsx                                    | JavaScript JSX |         18 |          0 |          7 |         25 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\Auth\SignupForm.jsx                                        | JavaScript JSX |        184 |          6 |         18 |        208 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\ComingSoon\ComingSoon.jsx                                  | JavaScript JSX |         13 |          0 |          3 |         16 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\Dashboard\ProductCard.jsx                                  | JavaScript JSX |         63 |          2 |          4 |         69 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\Footer\CheckoutFooter.jsx                                  | JavaScript JSX |         77 |          3 |          5 |         85 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\Footer\Footer.jsx                                          | JavaScript JSX |        101 |          5 |          7 |        113 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\Loading\LoadingSpinner.jsx                                 | JavaScript JSX |         24 |          2 |          3 |         29 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\Navbar\CheckoutNavbar.jsx                                  | JavaScript JSX |         19 |          2 |          4 |         25 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\Navbar\Navbar.jsx                                          | JavaScript JSX |        123 |          6 |         15 |        144 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\Navbar\SearchBar\SearchBar.jsx                             | JavaScript JSX |         78 |          5 |          9 |         92 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\Navbar\SellNavbar.jsx                                      | JavaScript JSX |         51 |          3 |          7 |         61 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\ProductCardDisplay\ProductCardDisplayClothing.jsx          | JavaScript JSX |        163 |         14 |         16 |        193 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\ProductCardDisplay\ProductCardDisplayElectronics.jsx       | JavaScript JSX |        116 |         10 |         14 |        140 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\ProductInfo\ClothingProductInfo.jsx                        | JavaScript JSX |        298 |          7 |         10 |        315 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\ProductInfo\ElectronicsProductInfo.jsx                     | JavaScript JSX |        259 |          5 |          9 |        273 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\Products\ClothingFilter.jsx                                | JavaScript JSX |        266 |         11 |         21 |        298 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\Products\ElectronicsFilter.jsx                             | JavaScript JSX |        177 |          8 |         17 |        202 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\Profile\Addresses.jsx                                      | JavaScript JSX |        217 |          7 |         12 |        236 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\Profile\Contact.jsx                                        | JavaScript JSX |         85 |          1 |          9 |         95 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\Profile\ContactChatBot\ContactChatbot.jsx                  | JavaScript JSX |         90 |         11 |          6 |        107 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\Profile\ContactChatBot\ProcessFiles\greetings.js           | JavaScript     |          6 |          5 |          1 |         12 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\Profile\ContactChatBot\ProcessFiles\orders.js              | JavaScript     |         44 |         16 |          7 |         67 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\Profile\ContactChatBot\processUserInput.js                 | JavaScript     |         30 |         12 |          5 |         47 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\Profile\OrderModal\OrderCancelledModal.jsx                 | JavaScript JSX |         33 |          1 |          3 |         37 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\Profile\OrderModal\OrderDetailsModal.jsx                   | JavaScript JSX |        135 |          1 |          9 |        145 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\Profile\Orders.jsx                                         | JavaScript JSX |        160 |          2 |         11 |        173 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\Profile\UserProfile.jsx                                    | JavaScript JSX |        126 |          9 |         11 |        146 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\Profile\Wishlist.jsx                                       | JavaScript JSX |        178 |         11 |         13 |        202 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\SellerDashboard\AddProduct.jsx                             | JavaScript JSX |         56 |          2 |          7 |         65 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\SellerDashboard\AddProduct\ClothingForm.jsx                | JavaScript JSX |        409 |         15 |         23 |        447 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\SellerDashboard\AddProduct\ElectronicsForm.jsx             | JavaScript JSX |        368 |         14 |         22 |        404 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\SellerDashboard\RecentOrders.jsx                           | JavaScript JSX |        102 |          2 |          5 |        109 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\SellerDashboard\SellerOrders.jsx                           | JavaScript JSX |        222 |          2 |         21 |        245 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\SellerDashboard\SellerProductsModal\SellerProductModal.jsx | JavaScript JSX |        164 |         14 |         12 |        190 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\SellerDashboard\SellerProductsPage.jsx                     | JavaScript JSX |         89 |          7 |         14 |        110 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\SellerDashboard\TopProducts.jsx                            | JavaScript JSX |         57 |          2 |          4 |         63 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\SellerRegistration\BankDetails.jsx                         | JavaScript JSX |        204 |         20 |         18 |        242 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\SellerRegistration\ProgressStepper.jsx                     | JavaScript JSX |         72 |          1 |          4 |         77 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\SellerRegistration\StoreSetup.jsx                          | JavaScript JSX |        133 |          5 |         12 |        150 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\Sidebar\Sidebar.jsx                                        | JavaScript JSX |         63 |          5 |          8 |         76 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\modals\SuccessModal.jsx                                    | JavaScript JSX |         30 |          2 |          3 |         35 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\payment\AddressForm.jsx                                    | JavaScript JSX |        120 |          5 |          8 |        133 |
| c:\Users\perso\Programming\Ecommerce\client\src\components\payment\PaymentForm.jsx                                    | JavaScript JSX |        212 |          5 |         23 |        240 |
| c:\Users\perso\Programming\Ecommerce\client\src\config\firebaseConfig.js                                              | JavaScript     |         15 |          2 |          4 |         21 |
| c:\Users\perso\Programming\Ecommerce\client\src\contexts\CartContext.jsx                                              | JavaScript JSX |          3 |          0 |          3 |          6 |
| c:\Users\perso\Programming\Ecommerce\client\src\contexts\CartProvider.jsx                                             | JavaScript JSX |         96 |          8 |          9 |        113 |
| c:\Users\perso\Programming\Ecommerce\client\src\contexts\useCart.jsx                                                  | JavaScript JSX |          3 |          1 |          2 |          6 |
| c:\Users\perso\Programming\Ecommerce\client\src\index.css                                                             | CSS            |         47 |          5 |         15 |         67 |
| c:\Users\perso\Programming\Ecommerce\client\src\layout.jsx                                                            | JavaScript JSX |         43 |          6 |          9 |         58 |
| c:\Users\perso\Programming\Ecommerce\client\src\main.jsx                                                              | JavaScript JSX |         65 |          3 |          5 |         73 |
| c:\Users\perso\Programming\Ecommerce\client\src\pages\CartPage.jsx                                                    | JavaScript JSX |        280 |         18 |         28 |        326 |
| c:\Users\perso\Programming\Ecommerce\client\src\pages\CheckoutPage.jsx                                                | JavaScript JSX |        214 |         10 |         13 |        237 |
| c:\Users\perso\Programming\Ecommerce\client\src\pages\Dashboard.jsx                                                   | JavaScript JSX |        249 |         11 |         10 |        270 |
| c:\Users\perso\Programming\Ecommerce\client\src\pages\DealsPage.jsx                                                   | JavaScript JSX |          9 |          0 |          3 |         12 |
| c:\Users\perso\Programming\Ecommerce\client\src\pages\HomePage.jsx                                                    | JavaScript JSX |        213 |          9 |         12 |        234 |
| c:\Users\perso\Programming\Ecommerce\client\src\pages\LoginPage.jsx                                                   | JavaScript JSX |         43 |          5 |          8 |         56 |
| c:\Users\perso\Programming\Ecommerce\client\src\pages\ProductInfoPage.jsx                                             | JavaScript JSX |         34 |          0 |          7 |         41 |
| c:\Users\perso\Programming\Ecommerce\client\src\pages\ProductsPage.jsx                                                | JavaScript JSX |        107 |          6 |         12 |        125 |
| c:\Users\perso\Programming\Ecommerce\client\src\pages\ProfilePage.jsx                                                 | JavaScript JSX |        153 |          4 |         14 |        171 |
| c:\Users\perso\Programming\Ecommerce\client\src\pages\SellerDashboard.jsx                                             | JavaScript JSX |        135 |          6 |         10 |        151 |
| c:\Users\perso\Programming\Ecommerce\client\src\pages\SellerPage.jsx                                                  | JavaScript JSX |        313 |         12 |         14 |        339 |
| c:\Users\perso\Programming\Ecommerce\client\src\pages\SellerRegisterPage.jsx                                          | JavaScript JSX |        150 |          8 |         15 |        173 |
| c:\Users\perso\Programming\Ecommerce\client\src\pages\SignupPage.jsx                                                  | JavaScript JSX |         78 |          5 |          7 |         90 |
| c:\Users\perso\Programming\Ecommerce\client\src\pages\TermsPage.jsx                                                   | JavaScript JSX |        390 |          3 |         31 |        424 |
| c:\Users\perso\Programming\Ecommerce\client\vite.config.js                                                            | JavaScript     |         10 |          1 |          2 |         13 |
| c:\Users\perso\Programming\Ecommerce\package-lock.json                                                                | JSON           |          6 |          0 |          1 |          7 |
| c:\Users\perso\Programming\Ecommerce\package.json                                                                     | JSON           |          1 |          0 |          1 |          2 |
| c:\Users\perso\Programming\Ecommerce\server\.env                                                                      | Properties     |         16 |          4 |          4 |         24 |
| c:\Users\perso\Programming\Ecommerce\server\config\db.js                                                              | JavaScript     |         23 |          1 |          4 |         28 |
| c:\Users\perso\Programming\Ecommerce\server\config\nodemailerConfig.js                                                | JavaScript     |         33 |          1 |          8 |         42 |
| c:\Users\perso\Programming\Ecommerce\server\controllers\addressController.js                                          | JavaScript     |         64 |          5 |         11 |         80 |
| c:\Users\perso\Programming\Ecommerce\server\controllers\authController.js                                             | JavaScript     |         46 |          6 |         15 |         67 |
| c:\Users\perso\Programming\Ecommerce\server\controllers\cartController.js                                             | JavaScript     |        126 |          7 |         14 |        147 |
| c:\Users\perso\Programming\Ecommerce\server\controllers\orderController.js                                            | JavaScript     |        203 |          7 |         16 |        226 |
| c:\Users\perso\Programming\Ecommerce\server\controllers\paymentController.js                                          | JavaScript     |        173 |         12 |         18 |        203 |
| c:\Users\perso\Programming\Ecommerce\server\controllers\productController.js                                          | JavaScript     |        112 |         14 |         16 |        142 |
| c:\Users\perso\Programming\Ecommerce\server\controllers\productSearchController.js                                    | JavaScript     |        255 |         20 |         32 |        307 |
| c:\Users\perso\Programming\Ecommerce\server\controllers\sellerCentralController.js                                    | JavaScript     |        186 |         10 |         23 |        219 |
| c:\Users\perso\Programming\Ecommerce\server\controllers\sellerController.js                                           | JavaScript     |        246 |         30 |         38 |        314 |
| c:\Users\perso\Programming\Ecommerce\server\controllers\userController.js                                             | JavaScript     |         44 |          1 |         10 |         55 |
| c:\Users\perso\Programming\Ecommerce\server\middlewares\authMiddleware.js                                             | JavaScript     |         16 |          1 |          6 |         23 |
| c:\Users\perso\Programming\Ecommerce\server\package-lock.json                                                         | JSON           |      4,091 |          0 |          1 |      4,092 |
| c:\Users\perso\Programming\Ecommerce\server\package.json                                                              | JSON           |         26 |          0 |          1 |         27 |
| c:\Users\perso\Programming\Ecommerce\server\routes\addressRoutes.js                                                   | JavaScript     |          9 |          2 |          4 |         15 |
| c:\Users\perso\Programming\Ecommerce\server\routes\authRoutes.js                                                      | JavaScript     |          6 |          1 |          4 |         11 |
| c:\Users\perso\Programming\Ecommerce\server\routes\cartRoutes.js                                                      | JavaScript     |         13 |          1 |          3 |         17 |
| c:\Users\perso\Programming\Ecommerce\server\routes\orderRoutes.js                                                     | JavaScript     |         11 |          3 |          5 |         19 |
| c:\Users\perso\Programming\Ecommerce\server\routes\paymentRoutes.js                                                   | JavaScript     |         13 |          2 |          4 |         19 |
| c:\Users\perso\Programming\Ecommerce\server\routes\productRoutes.js                                                   | JavaScript     |         11 |          3 |          5 |         19 |
| c:\Users\perso\Programming\Ecommerce\server\routes\productSearchRoutes.js                                             | JavaScript     |         11 |          3 |          6 |         20 |
| c:\Users\perso\Programming\Ecommerce\server\routes\sellerCentralRoutes.js                                             | JavaScript     |         11 |          3 |          5 |         19 |
| c:\Users\perso\Programming\Ecommerce\server\routes\sellerRoutes.js                                                    | JavaScript     |         21 |          8 |         11 |         40 |
| c:\Users\perso\Programming\Ecommerce\server\routes\userRoutes.js                                                      | JavaScript     |          9 |          2 |          4 |         15 |
| c:\Users\perso\Programming\Ecommerce\server\server.js                                                                 | JavaScript     |         35 |          7 |          8 |         50 |
| c:\Users\perso\Programming\Ecommerce\server\service-account-key.json                                                  | JSON           |         13 |          0 |          1 |         14 |
| Total                                                                                                                 |                |     22,150 |        560 |      1,022 |     23,732 |
+-----------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
